CrimeLog_ID,Year,Crime_code,PoliceStation_ID,Total
1025,2014,8,14.0,33
1026,2014,8,3.0,32
1027,2014,10,23.0,6
1028,2014,11,2.0,1
1029,2014,8,16.0,26
1030,2014,9,16.0,12
1031,2014,10,16.0,2
1032,2014,11,16.0,5
1033,2014,7,16.0,3
1034,2014,8,8.0,31
1035,2014,9,8.0,5
1036,2014,10,8.0,7
1037,2014,11,8.0,11
1038,2014,7,13.0,1
1039,2014,7,8.0,1
1040,2014,11,13.0,14
1041,2014,9,13.0,4
1042,2014,11,22.0,9
1043,2014,10,28.0,2
1044,2014,11,28.0,9
1045,2014,7,28.0,3
1046,2014,8,26.0,67
1047,2014,9,26.0,20
1048,2014,10,26.0,9
1049,2014,11,26.0,13
1050,2014,7,26.0,17
1051,2014,8,25.0,95
1052,2014,10,25.0,5
1053,2014,11,25.0,10
1054,2014,7,25.0,2
1055,2014,8,10.0,57
1056,2014,9,10.0,12
1057,2014,10,10.0,10
1058,2014,11,10.0,17
1059,2014,7,10.0,7
1060,2014,7,14.0,12
1061,2014,11,14.0,8
1062,2014,10,14.0,4
1063,2014,9,14.0,9
1064,2014,8,13.0,36
1065,2014,10,13.0,2
1066,2014,9,22.0,8
1067,2014,8,11.0,45
1068,2014,10,11.0,7
1069,2014,9,2.0,5
